dbcellid,x,y,z,goog14r0seg1_baseid,google_aggloid,dbcelltype,dbsubcelltype,dbsubcelltype2,dbsubcelltype3,nrvoxels,circulardepth
2381,152747,207525,2432,41069125183,41170981964,OLIGO,0,0,0,70,2470
9112,274460,210995,2432,41189671226,41393457245,OLIGO,0,0,0,70,1833
10726,197029,268537,2432,43181364293,52032138531,OLIGO,0,0,0,70,2602
25212,374335,230987,2432,41862703458,50800704857,MG_OPC,0,0,0,70,1180
28331,137188,231676,2432,33062083255,50807318816,MG_OPC,0,0,0,70,2696
34532,78732,250393,2432,42536876307,51431322271,MG_OPC,0,0,0,70,2879
35221,73871,227339,2432,41692356163,50659629709,MG_OPC,0,0,0,70,2691
43524,174446,242610,2432,42234181863,51157947561,OLIGO,0,0,0,70,2612
47443,169344,132696,2432,38624025928,47489359294,OLIGO,0,0,0,70,1865
19286,370116,156621,2432,30624168062,39460357701,INTERNEURON,0,0,0,326,954
36585,132985,209137,2432,41082864425,50050199268,OLIGO,0,0,0,71,2536
48849,215268,102270,2432,37068186764,37592013247,ASTROCYTE,0,0,0,327,1494
34525,87667,247960,2432,42566224918,51344286018,OLIGO,0,0,0,72,2876
46465,239159,269725,2432,52077212139,52077212148,OLIGO,0,0,0,72,2302
13911,390374,228296,2432,33070523363,41848482193,INTERNEURON,0,0,0,328,1052
13568,310153,222414,2432,6005318311,41350981952,PYRAMIDAL,256,0,0,584,1629
5838,173631,196648,2432,40691309896,40764124296,OLIGO,0,0,0,73,2316
10991,217409,255281,2432,42658136390,51596094345,OLIGO,0,0,0,73,2408
34083,100289,267257,2432,43148992792,51985212616,OLIGO,0,0,0,73,3038
35205,71358,203626,2432,41022679893,41037237788,OLIGO,0,0,0,73,2502
37717,154058,280655,2432,34707659732,43602077675,MG_OPC,0,0,0,73,2941
9645,317927,205594,2432,5904484478,40957967717,PYRAMIDAL,0,0,0,329,1512
25589,422201,199614,2432,5980555918,40772331054,PYRAMIDAL,0,0,0,585,734
